"service","repo_root","file","image_fields","port_fields"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\pgwriter-deploy.yaml","          image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:pgwriter-dev","              port: 8080 |               port: 8080 |       targetPort: 8080"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\re-deploy.yaml","          image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:re-ca73523145c4c1afa6cbcb9994f3c1fc4c589841","      port: 8080 |       targetPort: 8080"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\k8s\reports-deploy.yaml","          image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:reports-45075eec054539fa282129e171c954a264cc845d","      port: 8080 |       targetPort: 8080"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\magistrala-src\docker\Dockerfile.dev","","EXPOSE 8080"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\ops\snapshots\20250909-084821\deploy.yaml","          image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:alarms-a4ab87d2bb4bdd28f6557c9f2b2c9cfca51a7cfa |           image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:bootstrap-826865e |           image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:mqtt-adapter-6ef9ab76ddc260750347cbeebe5614db703cfae9 |           image: nats:2.10-alpine |           image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:pgreader-54b7025ad9cedcc2fbec4865a98a0b3432b8c3c9 |           image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:pgwriter-54b7025ad9cedcc2fbec4865a98a0b3432b8c3c9 |           image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:re-ca73523145c4c1afa6cbcb9994f3c1fc4c589841 |           image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:reports-45075eec054539fa282129e171c954a264cc845d","              port: 8080 |               port: 8080 |               port: 8080 |               port: 8080 |               port: 8080 |               port: 8080 |               port: 4222 |               port: 4222 |               port: 8080 |               port: 8080 |               port: 8080 |               port: 8080 |               port: 8080 |               port: 8080 |               port: 8080 |               port: 8080"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\ops\snapshots\20250909-084821\svc.yaml","","      port: 8080 |       targetPort: 8080 |       port: 8080 |       targetPort: 8080 |       port: 8080 |       targetPort: 8080 |       port: 4222 |       targetPort: 4222 |       port: 8222 |       targetPort: 8222 |       targetPort: 80 |       targetPort: 8080 |       targetPort: 8080 |       targetPort: 8080 |       targetPort: 8080 |       port: 8080 |       targetPort: 8080 |       port: 8080 |       targetPort: 8080 |       targetPort: 8080 |       targetPort: 8080"
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\upstream\magistrala-docker-compose.yaml","    image: ghcr.io/absmach/magistrala/ui-mg:latest |     image: ghcr.io/absmach/magistrala/ui-backend:latest |     image: postgres:16.2-alpine |     image: postgres:16.2-alpine |     image: ghcr.io/absmach/magistrala/re:${MG_RELEASE_TAG} |     image: postgres:16.2-alpine |     image: ghcr.io/absmach/magistrala/alarms:${MG_RELEASE_TAG} |     image: postgres:16.2-alpine |     image: ghcr.io/absmach/magistrala/reports:${MG_RELEASE_TAG} |     image: gotenberg/gotenberg:${MG_RELEASE_TAG}",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\docker-compose.alarms.yml","    image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:alarms-dev",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\docker-compose.auth.yml","    image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:auth-dev",""
"users","C:\Users\fhdar\Documents\gobee-platform-installer","C:\Users\fhdar\Documents\gobee-platform-installer\docker-compose.bootstrap.yml","    image: 595443389404.dkr.ecr.us-west-2.amazonaws.com/magistrala:bootstrap-dev",""
